⿰	∎	lr	IDS
# 丙 ['内']
# 丛 ['从']
# 丠T ['北u']
# 両 ['巾']
# 两 ['从']
# 个 ['人']
# 丯 ['彡']
# 丱 ['𠃎']
# 临 ['𠂉', '𫩏']
# 丵. ['𢆉']
# 丵J ['𢆉']
# 主 ['亠']
# 举 ['𭕄', '八']
# 久 ['𠂊']
# 乆 ['人']
# 乌 ['!乌']
# 乍 ['𠂉']
# 乎 ['𠂌']
# 乐 ['小']
# 乔 ['夭']
# 乕 ['𠂆']
# 乖 ['北']
# 乗 ['龷', '人']
# 乘 ['乖', '人']
# 乞 ['𠂉']
# 乢 ['山']
# 乣. ['幺.']
# 乣J ['幺d']
# 乧 ['斗']
# 乪 ['田']
# 乬. ['巨.']
# 乬K ['巨s']
# 乭 ['石']
# 乮 ['卯']
# 乯 ['乎']
# 买 ['头']
# 乱 ['舌']
# 乲. ['次.']
# 乲K ['次K']
# 乳. ['孚.t']
# 乳K ['孚pt']
# 乴 ['折']
# 乵. ['辛.']
# 乵J ['辛s']
# 乶 ['甫z']
# 乷. ['沙.']
# 乷K ['沙t']
# 乸. ['母']
# 乸H ['母']
# 乹  ['龺']
# 乺 ['所.']
# 乻. ['於.']
# 乻K ['於s']
# 乼. ['注.']
# 乼K ['注s']
# 乽. ['者.']
# 乽K ['者d']
# 乾 ['𠦝', '乞']
# 乿. ['爫.', '糸.']
# 乿H ['爫.', '糸d']
# 乿J ['爫p', '糸s']
# 亀 ['昌']
# 亁 ['旱', '乞']
# 亂 ['𤔔']
# 亃 ['粦']
# 亄. ['壹t']
# 亄T ['壹.']
# 亇T ['𠂉']
# 予 ['龴', '𠄐']
# 亊 ['𬺰']
# 事 ['𬺰']
# 于 ['𬺰']
# 亐 ['𠀁']
# 互 ['彑']
# 五 ['𫝀']
# 亗 ['山']
# 亘 ['旦']
# 些. ['此.']
# 些T ['此h']
# 亞 ['!亞', '!惡']
# 亟. ['又']
# 亟H ['又']
# 亢 ['亠']
# 交. ['父.']
# 交J ['父.']
# 交K ['父t']
# 亥. ['𠂈.', '人']
# 亥J ['𠂈d', '人']
# 亥V ['𠂈.', '人']
# 产 ['亠']
# 亩 ['田']
# 亪 ['亦']
# 享. ['子']
# 享J ['子']
# 京. ['小']
# 京J ['小']
# 亮H ['儿']
# 亮J ['儿']
# 亯. ['日']
# 亯J ['日']
# 亰. ['𣅀.', '小']
# 亰J ['𣅀s', '小']
# 亱 ['但']
# 亲. ['立.', '木']
# 亲T ['立.', '朩']
