⿰	∎	lr	IDS
# 劷J ['羊tp']
# 劸 ['圭t']
# 効. ['交.d']
# 効J ['交sd']
# 劺 ['牟']
# 劻 ['匡']
# 劼 ['吉']
# 劽 ['列']
# 劾. ['亥.']
# 劾J ['亥J']
# 劾V ['亥V']
# 势 ['执']
# 勀 ['克t']
# 勁 ['巠t']
# 勂. ['告']
# 勂H ['吿']
# 勃. ['孛t']
# 勃V ['孛.']
# 勄 ['每']
# 勅 ['束d']
# 勆. ['巳t']
# 勆T ['良.d']
# 勆J ['良sd']
# 勇. ['甬z']
# 勇H ['甬.']
# 勇J ['龴', '田']
# 勈 ['甬']
# 勉J ['免J']
# 勊 ['克']
# 勋 ['员']
# 勌. ['卷.t']
# 勌H ['卷.']
# 勌J ['卷J']
# 勍. ['京.']
# 勍J ['京J']
# 勎. ['坴.t']
# 勎T ['坴wt']
# 勏. ['咅.']
# 勏J ['咅J']
# 勐 ['孟t']
# 勑 ['來d']
# 勒 ['革']
# 勓. ['皆.']
# 勓H ['皆H']
# 勔 ['面']
# 動 ['重t']
# 勖. ['冒.']
# 勖V ['冒J']
# 勗. ['日', '助']
# 勗K ['助']
# 勘. ['甚.']
# 勘H ['甚H']
# 勘J ['甚J']
# 務. ['矛', '务']
# 務H ['矛', '攵']
# 勚 ['贳']
# 勛 ['員']
# 勜. ['翁.']
# 勜J ['翁K']
# 勝. ['月', '劵']
# 勝K ['月J', '劵']
# 勞 ['𤇾']
# 募. ['莫.']
# 募H ['莫K']
# 勠. ['翏.']
# 勠H ['翏H']
# 勠J ['翏J']
# 勡. ['票.']
# 勡T ['票T']
# 勢. ['埶.']
# 勢T ['埶T']
# 勢J ['埶J']
# 勢V ['埶g.']
# 勣 ['責']
# 勤. ['堇t']
# 勤J ['𦰌.t']
# 勥. ['强']
# 勥J ['強']
# 勦 ['巢d']
# 勧. ['𮥶d']
# 勧J ['𮥶.']
# 勨. ['象.']
# 勨T ['象H']
# 勩 ['貰']
# 勪 ['喬d']
# 勫 ['番H']
# 勬. ['絭.']
# 勬J ['絭K']
# 勭 ['童t']
# 勮. ['豦.']
# 勮T ['豦H']
# 勯. ['亶.t']
# 勯K ['亶st']
# 勰 ['劦', '思']
# 勱. ['萬.']
# 勱H ['萬H']
# 勲 ['動', '灬']
# 勳. ['熏t']
# 勳H ['熏.']
# 勴. ['慮.']
# 勴H ['慮H']
# 勵. ['厲.']
# 勵H ['厲H']
# 勶. ['徹.']
# 勶T ['徹T']
# 勶J ['徹J']
# 勷. ['襄.d']
# 勷J ['襄sd']
# 勸. ['雚.']
# 勸H ['雚H']
# 勸J ['雚J']
# 勼 ['九.']
# 匃. ['亾.']
# 匃T ['亾T']
# 包. ['巳']
# 包J ['己']
# 匇 ['夕']
# 匈 ['凶']
# 匉. ['平.']
# 匉K ['平K']
# 匊 ['米d']
# 匋 ['缶']
# 匌. ['合.']
# 匌T ['合d']
# 匍 ['甫.']
# 匎. ['奄.']
# 匎H ['奄d.']
# 匎T ['奄dw']
# 匏 ['夸d', '包']
# 匐 ['畐']
# 匑. ['躬.']
# 匑H ['躬H']
# 匒. ['荅.']
# 匒H ['荅2d']
# 匓. ['巳t', '殳d']
# 匓T ['𣪘', '\x08.g.d']
# 匓J ['𣪘J']
# 匓K ['𣪘pggd']
# 匔. ['躳.']
# 匔T ['躳T']
# 化. ['𠤎']
# 匘. ['𡿺']
# 匘T ['𡿺']
# 匙. ['是']
# 匙T ['是']
# 匛. ['久d']
# 匛J ['久.']
# 匝 ['巾']
# 匞 ['工']
# 匟. ['亢.']
# 匟J ['亢J']
# 匠 ['斤']
# 匡 ['王']
# 匣 ['甲']
# 匤 ['玉']
# 匥 ['弁']
# 匦 ['轨']
# 匧. ['夾d']
# 匧H ['夾.']
# 匨 ['壯']
# 匩. ['𡉚']
# 匩T ['㞷.']
# 匪. ['非.']
# 匪H ['非H']
# 匫 ['曶']
# 匬. ['俞.']
# 匬T ['俞T']
# 匬J ['兪J']
# 匬K ['兪K']
# 匭 ['軌']
# 匮 ['贵']
# 匯. ['淮.']
# 匯J ['淮J']
# 匰 ['單']
# 匱 ['貴']
# 匲. ['𡙗']
# 匲T ['匸', '𡙗']
# 匳 ['僉']
# 匴 ['算']
# 匵. ['賣']
# 匵J ['𧶠']
# 匶. ['舊.']
# 匶T ['舊T']
# 匶K ['舊J']
# 匷. ['瞿']
# 匷K ['瞿J']
# 区. ['㐅']
# 区H ['㐅']
# 医. ['矢d']
# 医H ['矢d']
# 匼. ['合.']
# 匼H ['合.']
# 匽. ['妟']
# 匽H ['妟']
# 匾. ['扁.']
# 匾H ['扁T']
# 匾K ['扁T']
# 匿. ['若.']
# 匿H ['若H']
# 區H ['匚H']
# 卅 ['川']
# 升 ['廾']
# 午 ['𠂉']
# 卉 ['廾']
# 卋 ['廿']
# 华. ['化.']
# 卑. ['日']
# 卑J ['田']
# 卓 ['早']
# 協 ['劦']
# 单 ['甲']
# 卖 ['买']
# 南. ['𢆉']
# 南V ['𠂇', '𢆉']
# 単 ['𭕄', '甲']
# 卙. ['甚.']
# 卙J ['甚T']
# 卙T ['甚J']
# 博. ['尃.']
# 博H ['尃H']
# 博J ['𤰔', '寸']
# 卛. ['䜌.']
# 卛J ['䜌J']
# 卢 ['尸']
# 卤 ['龱']
# 卦. ['圭t']
# 卦V ['圭.']
# 卧 ['臣']
# 卨. ['咼']
# 卨T ['咼H']
# 卪 ['卩']
# 卬 ['卩']
# 卭 ['工t', '卩']
# 卮 ['𠂋', '㔾']
# 卯 ['𠂎', '卩']
# 印. ['卩']
# 印J ['卩']
# 危. ['厄']
# 危K ['厄']
# 卲 ['卩']
# 即 ['巳t', '卩']
# 却 ['卩']
# 卵 ['𠂑', '卪']
# 卶 ['多', '卩']
# 卷. ['龹', '㔾']
# 卷J ['𠔉', '㔾']
# 卸. ['午', '丄t', '卩']
# 卸H ['𦈢t', '卩']
# 卹 ['血t', '卩']
# 卺 ['㔾']
# 卻. ['谷d', '卩']
# 卻J ['𧮫d', '卩']
# 卼. ['兀.', '危']
# 卼H ['兀t', '危']
# 卽. ['皀ht', '卩']
# 卽H ['皀.', '卩']
# 卽T ['皀T', '卩']
# 卽z ['皀z', '卩']
# 卾 ['卩']
# 卿. ['𠂎', '即']
# 卿J ['𠂎', '皀z', '卩']
# 皀z ['巳z']
# 厀 ['桼T', '卩']
# 厁. ['斜.']
# 厁K ['斜V']
# 厄 ['㔾.']
# 厇 ['乇.']
# 厈 ['干']
# 厊 ['牙']
# 压 ['圡']
# 厌 ['犬.']
# 厍 ['车.']
# 厎. ['氐.']
# 厎H ['氐H']
# 厏 ['乍']
# 厐 ['龙']
# 厑 ['匕']
# 厒 ['缶']
# 厓 ['圭.']
# 厔 ['至.']
# 厕 ['则']
# 厖. ['尨.']
# 厖H ['尨H']
# 厗. ['辛.']
# 厗K ['辛J']
# 厘 ['里.']
# 厙 ['車.']
# 厚 ['㫗']
# 厛 ['听']
# 厜. ['垂.']
# 厜H ['垂H']
# 厝 ['昔']
# 厞. ['非.']
# 厞H ['非H']
# 原 ['白', '小']
# 厠 ['則']
# 厡 ['泉']
# 厢 ['相']
# 厣 ['厌.', '甲']
# 厤 ['秝.']
# 厥 ['欮']
# 厦. ['夏.']
# 厦T ['夏T']
# 厧. ['真']
# 厧K ['眞']
# 厨 ['𭔰']
# 厩. ['既.']
# 厩T ['旣T']
# 厩J ['旣z']
# 既z ['皀z', '旡']
# 厪 ['堇']
# 厫. ['敖.']
# 厫H ['敖H']
# 厫J ['敖J']
# 厬. ['晷.']
# 厬H ['晷H']
# 厭. ['猒.']
# 厭T ['猒T']
# 厮 ['斯']
# 厯. ['𠩵.']
# 厯T ['𠩵d']
# 厰. ['敞.']
# 厰J ['敞J']
# 厱 ['僉']
# 厲. ['萬.']
# 厲H ['萬H']
# 厳. ['𭕄', '𠪚.']
# 厳T ['𭕄', '𠪚T']
# 厴. ['厭.', '甲']
# 厴T ['厭T', '甲']
# 厵 ['原', '原', '原']
# 厷 ['𠂇']
# 厹 ['九.']
# 厺 ['大.']
# 厼 ['小.']
# 县 ['且']
# 叀 ['𤰔']
# 叁 ['大.']
# 参 ['大.', '彡']
# 參 ['㐱.']
# 叄 ['𠫯']
# 叅. ['𠫯', '㣺T']
# 叅H ['𠫯', '㣺H']
# 叆 ['爱.']
# 叇 ['逮.']
# 及. ['人']
# 友 ['𠂇']
# 反. ['𠂆']
# 叐 ['友']
# 叓 ['𠮛']
# 叔 ['尗']
# 叕. ['㕛.']
# 叕J ['㕛T', '㕛T']
# 叕K ['㕛T']
# 取 ['耳']
# 受 ['爫.', '又']
# 变 ['又']
# 叙. ['余d.', '又']
# 叙V ['余ds', '又']
# 余d. ['亼d', '朩']
# 余ds ['亼d', '木d']
# 叚 ['又']
# 叛. ['半..p', '反.']
# 叛T ['半..p']
# 叛J ['半ptp']
# 叜. ['宀.', '𤆌.']
# 叜K ['灾J']
# 叝. ['𠬝.']
# 叞. ['𫵖.']
# 叞T ['𫵖s']
# 𫵖s ['尸', '示T']
# 叟. ['臼', '又']
# 叟H ['臼', '又']
# 叟T ['𦥔', '又']
# 叠 ['叒ddd', '冝']
# 叒ddd ['双dd']
# 叡 ['睿d', '又']
# 叢 ['丵', '取']
# 叩 ['卩']
# 叭T ['八t']
# 叱. ['𠤎']
# 叱V ['七']
# 右 ['𠂇']
# 叴 ['九.']
# 司 ['𠮛']
# 叽T ['儿']
# 叿 ['工']
# 吁 ['于']
# 吃 ['乞']
# 各 ['夂']
# 吆. ['幺.']
# 吆J ['幺J']
# 吇 ['子']
# 合 ['亼.']
# 吉 ['士']
# 吊 ['巾']
# 吋 ['寸']
# 同 ['𠮛']
# 名 ['夕']
# 后 ['𠂋']
# 吏. ['𠂇']
# 吏K ['𠂇']
# 吗 ['马']
# 吘 ['午']
# 吙 ['火']
# 吚 ['尹']
# 君 ['尹']
# 吝. ['文.']
# 吝J ['文K']
# 吞 ['天.']
# 吟. ['今.']
# 吟H ['今H']
# 吠 ['犬.']
# 吡. ['比.']
# 吡H ['比H']
# 吢 ['心']
# 吣 ['心']
# 吧 ['巴']
# 吨. ['屯.']
# 吨J ['屯J']
# 吪. ['化.']
# 含. ['今', '口.']
# 含H ['今', '口H']
# 听 ['斤']
# 吭. ['亢.']
# 吭H ['亢H']
# 吮 ['允']
# 启. ['户']
# 启T ['戶']
# 吰 ['厷']
# 吱. ['支.']
# 吱V ['支t']
# 吲 ['引']
# 吳. ['大.']
# 吳H ['大d']
# 吴 ['天.']
# 吵. ['少.']
# 吵H ['少H']
# 吶. ['內.']
# 吶H ['內H']
# 吷. ['夬.']
# 吷H ['夬H']
# 吸. ['及.']
# 吹 ['欠.']
# 吺. ['殳.']
# 吺K ['殳J']
# 吼 ['孔']
# 吽 ['牛']
# 吾 ['五']
# 吿 ['牛']
# 呀 ['牙']
# 呃 ['厄.']
# 呄 ['乃']
# 呅. ['文.']
# 呅K ['文K']
# 呆. ['木.']
# 呆T ['木d']
# 呇 ['水.']
# 呈. ['王']
# 呈H ['𡈼']
# 告 ['𠂒']
# 呋 ['夫']
# 呌 ['斗']
# 呎 ['尺.']
# 呏 ['升']
# 呐. ['内.']
# 呐T ['内n']
# 呑 ['夭']
# 呒 ['无']
# 呓 ['艺']
# 呔 ['太.']
# 呕 ['区']
# 呗 ['贝.']
# 员 ['贝.']
# 呙 ['内.']
# 呚 ['攵.']
# 呛 ['仓.']
# 呜 ['乌']
# 呝. ['戹.']
# 呝T ['戹T']
# 呞 ['司']
# 呟. ['玄.']
# 呟J ['玄J']
# 呠 ['本.']
# 呡 ['民.']
# 呢. ['尼.']
# 呢T ['尼T']
# 呣 ['母']
# 呤. ['令.']
# 呤H ['令H']
# 呤J ['令J']
# 呦. ['幼.']
# 呦J ['幼J']
# 呧. ['氐.']
# 呧H ['氐H']
# 周. ['𠮷']
# 呩. ['示.']
# 呩T ['示T']
# 呪 ['兄.']
# 呯. ['平.']
# 呯K ['平K']
# 呰. ['此', '口.']
# 呰T ['此', '口T']
# 呱. ['瓜.']
# 呱J ['瓜J']
# 呲. ['此.']
# 呲T ['此T']
# 味 ['未.']
# 呶 ['奴.']
# 呷 ['甲']
# 呹 ['失.']
# 呻 ['申']
# 呼 ['乎']
# 命 ['亼', '叩']
# 呾 ['旦']
# 咀 ['且.']
# 咁 ['甘']
# 咂 ['匝']
# 咄 ['出']
# 咅. ['立.']
# 咅J ['立J']
# 咆 ['包.']
# 咇 ['必']
# 咈 ['弗']
# 咉. ['央.']
# 咉T ['央T']
# 咊 ['禾.']
# 咋 ['乍']
# 和 ['禾d']
# 咎. ['处.']
# 咎H ['处T']
# 咏. ['永.']
# 咏V ['永V']
# 咐 ['付']
# 咑 ['打']
# 咓 ['瓦']
# 咗 ['左']
# 咘 ['布']
# 咙 ['龙']
# 咚 ['冬.']
# 咛 ['宁.']
# 咜. ['它.']
# 咜J ['它J']
# 咞. ['开']
# 咞T ['幵.']
# 咟 ['百']
# 咠. ['耳.']
# 咠J ['耳J']
# 咡. ['耳.']
# 咡J ['耳J']
# 咣 ['光.']
# 咤. ['宅.']
# 咤J ['宅J']
# 咥 ['至.']
# 咦 ['夷.']
# 咧 ['列']
# 咨. ['次', '口.']
# 咨T ['次', '口T']
# 咨J ['次', '口K']
# 咩 ['羊.']
# 咪. ['米.']
# 咪T ['米T']
# 咫 ['尺.']
# 咬. ['交.']
# 咬J ['交J']
# 咬K ['交K']
# 咭 ['吉']
# 咮 ['朱.']
# 咯 ['各.']
# 咰 ['旬']
# 咱 ['自']
# 咲. ['关']
# 咲H ['关.']
# 咲K ['关T']
# 咳. ['亥.']
# 咳J ['亥J']
# 咳V ['亥V']
# 咴 ['灰.']
# 咵 ['夸']
# 咶 ['舌']
# 咷 ['兆.']
# 咸 ['戊', '𠮛']
# 咹. ['安.']
# 咹J ['安J']
# 咺 ['亘.']
# 咻 ['休.']
# 咼H ['冎T']
# 咽 ['因']
# 咾. ['老.']
# 咾T ['老T']
# 咿 ['伊']
# 哀. ['𧘇']
# 哀J ['𧘇']
# 哂. ['西.']
# 哂J ['西J']
# 哃 ['同.']
# 哄 ['共']
# 哅 ['匈']
# 哆 ['多']
# 哇 ['圭.']
# 哈 ['合.']
# 哉 ['𢦏']
# 哊. ['有.']
# 哊T ['有T']
# 哋. ['地.']
# 哋H ['地H']
# 哌 ['𠂢.']
# 哎. ['艾.']
# 哎H ['艾H']
# 哎J ['艾J']
# 哎K ['艾K']
# 哏 ['艮.']
# 哐 ['匡']
# 哒 ['达.']
# 哓 ['尧.']
# 哔 ['毕.']
# 哕 ['岁']
# 哖 ['年']
# 哗 ['华.']
# 哘 ['行']
# 哙 ['会.']
# 哚. ['朵.']
# 哚T ['朵T']
# 哛. ['匕']
# 哛K ['匕']
# 哜 ['齐']
# 哝 ['农']
# 哞 ['牟.']
# 哟 ['约']
# 哠. ['告']
# 哠H ['吿']
# 員 ['貝']
# 哢 ['弄']
# 哣 ['豆.']
# 哤. ['尨.']
# 哤H ['尨H']
# 哥. ['可s', '可.']
# 哥J ['可.', '可.']
# 哦 ['我']
# 哧. ['赤.']
# 哧H ['赤H']
# 哨. ['肖.']
# 哨T ['肖T']
# 哨J ['肖K']
# 哩 ['里']
# 哪. ['那.']
# 哪J ['那K']
# 哫 ['足']
# 哭 ['犬.']
# 哮 ['孝.']
# 哯 ['見.']
# 哰. ['牢.']
# 哰K ['牢J']
# 哱 ['孛']
# 哲 ['折']
# 哳 ['折']
# 哴. ['良.']
# 哴V ['良V']
# 哵T ['別']
# 哶 ['⺸']
# 哷. ['寽.']
# 哷K ['寽J']
# 哸. ['妥.']
# 哸K ['妥p']
# 哹. ['孚.']
# 哹K ['孚J']
# 哺 ['甫.']
# 哻 ['旱']
# 哽. ['更.']
# 哽J ['更K']
# 哾. ['兑']
# 哾T ['兌T']
# 哾J ['兌J']
# 哿 ['可.']
# 唀. ['秀.']
# 唀T ['秀H']
# 唁. ['言.']
# 唁J ['言J']
# 唁V ['言V']
# 唂 ['谷.']
# 唃. ['角.']
# 唃H ['角H']
# 唄 ['貝']
# 唅. ['含.']
# 唅H ['含H']
# 唆. ['夋']
# 唆H ['夋w.']
# 唆T ['夋T']
# 唆J ['夋J']
# 夋w. ['夂']
# 唇. ['辰.']
# 唇H ['辰.']
# 唈 ['邑']
# 唉. ['矣.']
# 唉H ['矣H']
# 唊 ['夾.']
# 唋 ['余.']
# 唌. ['延.']
# 唌J ['延tw']
# 延tw ['廴']
# 唍. ['完.']
# 唍J ['完J']
# 唎 ['利']
# 唏 ['希']
# 唐. ['广.']
# 唐J ['广J']
# 唑 ['坐.']
# 唒 ['酉']
# 唓 ['車.']
# 唔 ['吾']
# 唕 ['皁']
# 唗 ['走']
# 唘 ['石']
# 唙 ['狄']
# 唚 ['𠬶.']
# 唛. ['麦']
# 唛T ['又']
# 唜 ['末.', '匕']
# 唝 ['贡']
# 唞 ['抖']
# 唟 ['匕']
# 唠 ['劳']
# 唡 ['两']
# 唢 ['𭕆']
# 唣 ['皂.']
# 唤 ['奂']
# 唥. ['冷.']
# 唥H ['冷H']
# 唦. ['沙.']
# 唦H ['沙H']
# 唧 ['即']
# 唨 ['阻']
# 唩. ['委.']
# 唩T ['委H']
# 唪 ['奉']
# 唫 ['金.']
# 唬. ['虎.']
# 唬H ['虎H']
# 唬K ['虎J']
# 唭 ['其']
# 售. ['隹.']
# 售J ['隹J']
# 唯. ['隹.']
# 唯J ['隹J']
# 唰 ['刷']
# 唱 ['昌']
# 唲 ['兒']
# 唳. ['戾.']
# 唳T ['戾T']
# 唳J ['戾h']
# 戾h ['戸', '犬']
# 唴. ['羌.']
# 唴H ['羌H']
# 唵. ['奄.']
# 唵T ['奄T']
# 唶 ['昔']
# 唷. ['育.']
# 唷T ['育T']
# 唷K ['育J']
# 唸. ['念.']
# 唸H ['念H']
# 唹. ['於.']
# 唹H ['於H']
# 唹J ['於J']
# 唺 ['典']
# 唻 ['來.']
# 唼. ['妾.']
# 唼J ['妾J']
# 唽 ['析']
# 唾. ['垂.']
# 唾H ['垂H']
# 唿 ['忽']
# 啀 ['厓.']
# 啁. ['周.']
# 啂. ['乳.']
# 啂K ['乳K']
# 啃. ['肯.']
# 啃T ['肯T']
# 啄. ['豖']
# 啄J ['豕']
# 啅 ['卓']
# 啈 ['幸']
# 啉 ['林.']
# 啊 ['阿']
# 啋. ['采.']
# 啋K ['采K']
# 啌. ['空.']
# 啌T ['空H']
# 啌J ['空J']
# 啍. ['享.']
# 啍J ['享J']
# 啎 ['午.', '吾']
# 問 ['門']
# 啑 ['疌']
# 啒 ['屈']
# 啓. ['𢼄.']
# 啓T ['戶', '攵']
# 啓J ['戸', '攵']
# 啓V ['𢼄V']
# 啔. ['𫼉']
# 啔T ['戶', '戈']
# 啕 ['匋']
# 啖 ['炎.']
# 啗. ['臽']
# 啗J ['臽T']
# 啘. ['宛.']
# 啘J ['宛J']
# 啙. ['此.']
# 啙T ['此T']
# 啚T ['㐭.']
# 啚J ['㐭J']
# 啛 ['妻']
# 啜 ['叕.']
# 啝. ['和.']
# 啝J ['和n']
# 啞 ['亞']
# 啟. ['启.', '攵']
# 啟T ['启T', '攵']
# 啠 ['斦']
# 啡. ['非.']
# 啡H ['非H']
# 啢. ['兩.']
# 啢H ['兩H']
# 啣. ['卸.']
# 啣H ['卸H']
# 啤 ['卑.']
# 啥 ['舍']
# 啦. ['拉.']
# 啦J ['拉J']
# 啧 ['责']
# 啨. ['青.']
# 啨T ['青T']
# 啩. ['卦.']
# 啩V ['卦V']
# 啪 ['拍']
# 啫. ['者.']
# 啫K ['者K']
# 啭 ['转']
# 啮 ['齿']
# 啯 ['国']
# 啰 ['罗']
# 啱 ['岩']
# 啲 ['的']
# 啳 ['卷.']
# 啴 ['单']
# 啵 ['波']
# 啶 ['定.']
# 啷. ['郎.']
# 啷V ['郎J']
# 啸 ['肃']
# 啹 ['居']
# 啺 ['昜']
# 啻. ['帝', '口.']
# 啻J ['帝', '口J']
# 啼. ['帝.']
# 啼J ['帝J']
# 啽 ['弇']
# 啾 ['秋.']
# 啿. ['甚.']
# 啿H ['甚H']
# 啿J ['甚J']
# 喀. ['客.']
# 喀J ['客J']
# 喁 ['禺.']
# 喂 ['畏.']
# 喃. ['南.']
# 喃V ['南V']
# 善. ['羊', '䒑']
# 善H ['𦍌', '䒑']
# 喅 ['昱.']
# 喆 ['吉', '吉']
# 喇 ['剌']
# 喈. ['皆.']
# 喈H ['皆H']
# 喉. ['侯.']
# 喉H ['侯H']
# 喊 ['咸']
# 喋. ['枼.']
# 喋T ['枼T']
# 喌 ['州']
# 喍. ['柴.']
# 喍T ['柴T']
# 喎H ['咼H']
# 喏. ['若.']
# 喏H ['若H']
# 喐. ['郁.']
# 喐T ['郁T']
# 喑. ['音.']
# 喑J ['音J']
# 喒. ['昝.']
# 喒T ['昝T']
# 喒J ['昝.h']
# 昝.h ['夂', '日']
# 喓 ['要']
# 喔 ['屋.']
# 喕 ['面']
# 喖 ['枯']
# 喗 ['軍.']
# 喘 ['耑']
# 喙 ['彖']
# 喚. ['奐.']
# 喚H ['奐H']
# 喚J ['奐J']
# 喛. ['爰.']
# 喛K ['爰J']
# 喜 ['壴.']
# 喝. ['曷.']
# 喝H ['曷H']
# 喝J ['曷pg']
# 曷pg ['日']
# 喞. ['卽.']
# 喞T ['卽T']
# 喞J ['卽z']
# 喟. ['胃.']
# 喟T ['胃T']
# 喠 ['重.']
# 喡 ['韋']
# 喢. ['臿.']
# 喢H ['臿H']
# 喣 ['灬']
# 喤 ['皇']
# 喥. ['度.']
# 喥K ['度J']
# 喦. ['𠮝']
# 喦V ['山']
# 喧. ['宣.']
# 喧J ['宣J']
# 喨H ['亮H']
# 喨J ['亮J']
# 喩. ['兪.']
# 喩H ['兪H']
# 喩T ['兪T']
# 喩J ['兪J']
# 喩K ['兪K']
# 喫. ['契.']
# 喫H ['契H']
# 喫T ['契T']
# 喫J ['契J']
# 喫K ['契K']
# 喬 ['呑']
# 喭. ['彦.']
# 喭H ['彥.']
# 喭J ['彥s']
# 喭V ['彦J']
# 彥s ['㐅', '彡']
# 單 ['甲']
# 喯. ['奔.']
# 喯T ['奔2']
# 奔2 ['夲', '𠂇']
# 喰. ['食.']
# 喰H ['食H']
# 喰J ['食J']
# 喱 ['厘']
# 喲. ['約.']
# 喲J ['約dsh']
# 喲K ['約J']
# 約dsh ['糸J']
# 喳. ['查']
# 喳K ['査']
# 喴 ['威']
# 喵. ['苗.']
# 喵H ['苗H']
# 営. ['𭕄']
# 営T ['𭕄']
# 喷 ['贲']
# 喸 ['甫z', '匕']
# 喹 ['奎']
# 喺 ['係.']
# 喻. ['俞.']
# 喻T ['俞T']
# 喼. ['急.']
# 喼H ['急H']
# 喽 ['娄']
# 喾 ['𭕄', '告']
# 喿 ['木.']
# 嗀. ['𫯁', '殳.']
# 嗀K ['𫯁', '殳J']
# 嗁. ['虒.']
# 嗁H ['虒H']
# 嗁J ['虒J']
# 嗂. ['䍃.']
# 嗂H ['䍃J']
# 嗂T ['䍃T']
# 嗃. ['高.']
# 嗃J ['高J']
# 嗄. ['夏.']
# 嗄T ['夏T']
# 嗅. ['臭.']
# 嗅H ['臭H']
# 嗆. ['倉.']
# 嗆H ['倉H']
# 嗈 ['邕']
# 嗉. ['素.']
# 嗉J ['素J']
# 嗊 ['貢']
# 嗋. ['脅.']
# 嗋T ['脅T']
# 嗌. ['益.']
# 嗌J ['益K']
# 嗌V ['䒑', '皿']
# 嗍 ['朔']
# 嗎 ['馬']
# 嗏. ['茶.']
# 嗏H ['茶H']
# 嗏K ['茶2d']
# 茶2d ['艹', '朩']
# 嗐. ['害.']
# 嗐H ['害H']
# 嗐K ['害K']
# 嗑 ['盍']
# 嗒. ['荅.']
# 嗒H ['荅H']
# 嗓. ['桑.']
# 嗓T ['桑T']
# 嗔. ['真']
# 嗔J ['眞']
# 嗕. ['辱.']
# 嗕H ['辱H']
# 嗖. ['叟.']
# 嗖H ['叟H']
# 嗖T ['叟T']
# 嗗. ['骨.']
# 嗗H ['骨H']
# 嗗T ['骨T']
# 嗘. ['奚.']
# 嗘H ['奚H']
# 嗘J ['奚J']
# 嗙. ['旁.']
# 嗙K ['旁J']
# 嗚 ['烏']
# 嗛. ['兼.']
# 嗛J ['兼p']
# 嗜. ['耆.']
# 嗜T ['耆T']
# 嗝. ['鬲.']
# 嗝J ['鬲J']
# 嗞. ['兹']
# 嗞H ['茲H']
# 嗞J ['茲.']
# 嗟. ['差.']
# 嗟H ['差H']
# 嗠. ['孚', '各.']
# 嗠K ['孚', '各J']
# 嗡. ['翁.']
# 嗡T ['翁T']
# 嗡K ['翁K']
# 嗡V ['翁V']
# 嗢. ['昷']
# 嗢T ['𥁕']
# 嗣 ['𠕁', '司']
# 嗤. ['蚩.']
# 嗤T ['蚩T']
# 嗥 ['皋']
# 嗦 ['索.']
# 嗧 ['侖']
# 嗨 ['海']
# 嗩. ['𧴪.']
# 嗩J ['𧴪T']
# 嗪 ['秦']
# 嗫 ['聂']
# 嗬. ['荷.']
# 嗬H ['荷H']
# 嗭. ['直.', '匕']
# 嗭K ['直J', '匕']
# 嗮 ['晒']
# 嗯 ['恩']
# 嗱 ['拿']
# 嗲 ['爹']
# 嗳 ['爱']
# 嗴. ['羗.']
# 嗴T ['羗H']
# 嗵. ['通.']
# 嗵H ['通H']
# 嗶. ['畢.']
# 嗶H ['畢H']
# 嗷. ['敖.']
# 嗷H ['敖H']
# 嗷J ['敖J']
# 嗸. ['敖.']
# 嗸T ['敖H']
# 嗹. ['連.']
# 嗹H ['連H']
# 嗹J ['連J']
# 嗺. ['崔.']
# 嗺J ['崔K']
# 嗻. ['庶.']
# 嗻J ['庶K']
# 嗼. ['莫.']
# 嗼H ['莫H']
# 嗽 ['欶']
# 嗾. ['族.']
# 嗾H ['族H']
# 嗾J ['族J']
# 嗿. ['貪.']
# 嗿H ['貪H']
# 嘁 ['戚']
# 嘃. ['庸.']
# 嘃T ['庸T']
# 嘄. ['梟.']
# 嘄T ['梟T']
# 嘅. ['既.']
# 嘅T ['旣T']
# 嘅J ['旣h']
# 嘆. ['廿']
# 嘆H ['廿']
# 嘆J ['𦰩']
# 嘆V ['龷']
# 嘇 ['參']
# 嘈 ['曹']
# 嘉 ['壴']
# 嘊 ['崖']
# 嘋 ['教']
# 嘌. ['票.']
# 嘌T ['票T']
# 嘍 ['婁']
# 嘎 ['戛']
# 嘏 ['叚']
# 嘐. ['翏.']
# 嘐H ['翏H']
# 嘐J ['翏J']
# 嘑. ['虖.']
# 嘑H ['虖H']
# 嘒. ['彗.']
# 嘒H ['彗H']
# 嘒J ['彗J']
# 嘓 ['國']
# 嘔H ['區H']
# 嘕 ['焉']
# 嘖 ['責']
# 嘗. ['𫩠', '旨.']
# 嘗H ['𫩠', '旨H']
# 嘘. ['虚.']
# 嘘T ['虚T']
# 嘙. ['婆.']
# 嘙T ['婆H']
# 嘚 ['得']
# 嘛. ['麻.']
# 嘛T ['麻T']
# 嘛J ['麻J']
# 嘛K ['麻K']
# 嘜. ['麥.']
# 嘜H ['麥H']
# 嘜T ['麥T']
# 嘝. ['斛.']
# 嘝H ['斛H']
# 嘞. ['勒.']
# 嘞V ['龷']
# 嘟 ['都']
# 嘠 ['戞']
# 嘡 ['堂']
# 嘢 ['野']
# 嘣 ['崩']
# 嘤 ['婴']
# 嘥 ['徙']
# 嘦 ['要']
# 嘧 ['密']
# 嘨 ['粛']
# 嘩. ['華.']
# 嘩H ['華H']
# 嘪 ['買']
# 嘫. ['然.']
# 嘫T ['然T']
# 嘬. ['最.']
# 嘬H ['最H']
# 嘭 ['彭']
# 嘮 ['勞']
# 嘯. ['肅.']
