!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
𤗜	⿰片叚
𤗝	⿰片臾
𤗞	⿰片亭
𤗟	⿰亲片
𤗠	⿰片⿱⿻千从凵
𤗡	⿰者片
𤗢	⿰片虒
𤗣	⿰片⿱{:-2}⿻十⿻⿺㇄𠃎一木[T] ⿰片⿱{:-2}⿻十⿻⿺𠃊𠃎一木[.]
𤗤	⿰片貢
𤗥	⿰片⿱十㭉[T] ⿰片桒[.]
𤗦	⿰片鬲
𤗧	⿰片鬼
𤗨	⿰片習
𤗩	⿰片𤰈
𤗪	⿰片率
𤗫	⿰片离
𤗬	⿰片婁
𤗭	⿰片虖
𤗮	⿰片責
𤗯	⿰片崔
𤗰	⿰片曹
𤗱	⿰片⿱日甫
𤗲	⿰片參
𤗴	⿰片貴
𤗵	⿰片菐
𤗶	⿰片黃[T] ⿰片黄[.]
𤗷	⿰片粦
𤗸	⿰片賁
𤗹	⿰片番
𤗺	⿰片辟
𤗻	⿰片詹
𤗼	⿰片嗇
𤗽	⿰片葉
𤗾	⿰片當
𤗿	⿰片臺
𤘀	⿰片壽
𤘁	⿰片蒙
𤘂	⿰片夢
𤘃	⿰片歷
𤘄	⿰片𧷗
𤘅	⿰牙子
𤘆	⿰牙牙
𤘇	⿰牙占
𤘈	⿱牙臼
𤘉	⿱牙⿴囗⿱儿一
𤘋	⿰牙我
𤘌	⿰牙奇
𤘍	⿱牙𦥒
𤘎	⿰牙⿱𫝀㠯
𤘏	⿰牙昏
𤘐	⿰牙禹
𤘑	⿰牙豈
𤘒	⿱敖牙
𤘓	⿰牙寧
𤘔	⿱一牛
𤘕	⿰牛㔾
𤘖	⿰牛丁
𤘗	⿰牛乜
𤘘	⿰牛口
𤘙	⿰牛女
𤘚	⿰牛弋
𤘛	⿰牛⿻𠤎一
𤘜	⿰牛尤
𤘝	⿱八𭷔
𤘞	⿰牛⿹𠃌⿻丿⺀
𤘟	⿰牛⿻⺆二[T] ⿰牛冄[.]
𤘠	⿰牛天
𤘡	⿰牛今
𤘢	⿰牛不
𤘣	⿰牛冘
𤘤	⿱比牛
𤘥	⿰牛比
𤘦	⿰牛介
𤘧	⿱牛牛
𤘩	⿱双牛
𤘪	⿰牛丹
𤘫	⿰牛屯
𤘬	⿰牛木
𤘭	⿰牛火
𤘮	⿱不牛
𤘯	⿰牛欠
𤘰	⿱㓁牛
𤘱	⿰牛𣎳
𤘲	⿰牛犬
𤘳	⿰牛𢆰
𤘴	⿰牛攴
𤘵	⿱日牛
𤘶	⿰牛手
𤘸	⿰牛𠬢
𤘹	⿰牛丕
𤘺	⿰牛宂
𤘻	⿰牛⿱丿𠔿
𤘼	⿰牛冉
𤘽	⿰牛句
𤘾	⿰牛平
𤘿	⿱北牛
𤙀	⿰牛𠀒
𤙁	⿰牛㐱
𤙃	⿰牛本
𤙄	⿱加牛
𤙅	⿰牛布
𤙆	⿰牛⿴互一
𤙇	⿰牛甲
𤙈	⿰牛失
𤙉	⿰牛⿻⿵⺆丨二
𤙊	⿰牛⿱勻一[U] ⿰牛⿱匀一[.]
𤙋	⿳么冖牛
𤙌	⿰牛尼
𤙍	⿰牛⿻屮几
𤙎	⿰牛皮
𤙏	⿱土牟
𤙐	⿰牛卡
𤙑	⿰牛各
𤙒	⿰牛劦
𤙓	⿰牛同
𤙔	⿰牛兆
𤙕	⿰牛虫
𤙖	⿰合牛
𤙗	⿰牛弜
𤙘	⿱收牛
𤙙	⿰牛危
𤙚	⿰牛⿱𠂉毛
𤙛	⿰牛余
𤙜	⿰牛肖
𤙝	⿰牛邑
𤙞	⿰牛坒
𤙟	⿱初牛
𤙠	⿰牛求
𤙡	⿰牛辛
𤙢	⿰牛芋
𤙤	⿰牛孚
𤙥	⿰牛克
𤙦	⿰牛豕
𤙧	⿰牛見
𤙨	⿰牛束
𤙩	⿰牛每
𤙪	⿰牛豸
𤙫	⿰牛⿱丶亘
𤙬	⿰牛吴
𤙭	⿰牛甫
𤙮	⿰牛赤
𤙯	⿰牛劳
𤙰	⿰牛㝵
𤙱	⿰牛舍
𤙲	⿱制牛
𤙳	⿰牛备
𤙴	⿰牛卓
𤙵	⿰牛隹
𤙶	⿰牛疌
𤙷	⿰牛宗
𤙸	⿰牛⿻⿱士儿口
𤙹	⿰牛忽
𤙺	⿳亠丷𤘰
𤙻	⿱卷牛
𤙼	⿱⿰有力牛
𤙽	⿰牛尚
𤙾	⿰牛并[.] ⿰牛幷[U]
𤙿	⿰牛岳
𤚀	⿰牛采
𤚁	⿰肴牛
𤚂	⿰牛⿹勹⿱小小
𤚃	⿰牛底
𤚄	⿰牛⿱丑丑
𤚅	⿰牟牟
𤚆	⿰牛陂
𤚇	⿰牛⿱𦍌又
𤚈	⿰牛⿱⿻屮八又[T] ⿰牛⿳山小又[.]
𤚉	⿱取牛
𤚊	⿰牛⿱丶𣏏
𤚋	⿰牛念
𤚌	⿸㞑牛
𤚍	⿰牛蚩
𤚎	⿰牛俞
𤚏	⿰牛重
𤚐	⿰牛苗
𤚑	⿰牛射
𤚒	⿰牛亰
𤚓	⿱⿰牛攵⿸厂文[T] ⿱牧⿸厂文[.]
𤚔	⿰牛叜
𤚕	⿰牛垔
𤚖	⿰牛姜
𤚗	⿰牛宣
𤚘	⿰牛要
𤚙	⿰牛奐
𤚚	⿰牛毒
𤚛	⿰牛面
𤚜	⿱⿰⿱止小又牛
𤚝	⿰牛皇
𤚞	⿰牛⿱丿𡶩
𤚟	⿰牛待
𤚠	⿰牛㚇
𤚡	⿰牛度
𤚢	⿰牛帝
𤚣	⿰牛𡧩
𤚤	⿰牛眉
𤚥	⿰牟含
𤚦	⿰牛⿱十呆
𤚧	⿱吒牢
𤚨	⿰牛⿱辰又[T] ⿰牛⿸辰又[.]
𤚩	⿰牛秦
𤚪	⿰牛𣬉
𤚫	⿰牛唐
𤚬	⿰牛倉
𤚭	⿰牛䍃
𤚮	⿰牛𠅖
𤚯	⿰牛臭
𤚰	⿰牛旁
𤚱	⿰牛骨
𤚲	⿰⿳士冖⿱一牛殳[.] ⿰⿳士冖𤘔殳[T]
𤚳	⿰牛虔
𤚴	⿰牛馬
𤚵	⿰牛⿱㐬口[.] ⿰牛⿳𠫓𫶧口[T]
𤚶	⿰⿱夂⿲丶丶丶⿱勿牛[.] ⿰⿱夕⿲丶丶丶⿱勿牛[T]
𤚷	⿰牟卓
𤚸	⿱高牛
𤚹	⿱捃牛
𤚺	⿰牛𦐇
𤚻	⿱⿰牛牛合
𤚼	⿱𣪊牛
𤚽	⿰牛尃
𤚾	⿰牛辱[.,T] ⿰牛⿸辰寸[U]
𤚿	⿰牛⿸厂⿳二⿰⿱〢㇀⺄又[.] ⿰牛⿸厂⿳二⿰𠄌⺄又[T]
𤛀	⿰牛𧴫
𤛁	⿰牛昷
𤛂	⿰牛鬼
𤛃	⿰牛𠣧
𤛄	⿰牛⿱文耳[U] ⿰牛斊[.]
𤛅	⿰牛畜
𤛇	⿰牛真
𤛈	⿱合⿰牛牛
𤛉	{𤛉}⿳𫝀巛⿳冖厶⿻十𠃊[.] ⿳𫝀巛⿱冖牟[T]
𤛊	⿰牛習
𤛋	⿰牛堂
𤛌	⿰牛尉
𤛍	⿰牛崔
𤛎	⿱敏牛
𤛏	⿰牛虘
𤛐	⿰牛區
𤛑	⿰牛庸
𤛒	⿰牛⿹⿷⿴弓コ匚口
𤛔	⿰牛曼
𤛕	⿲牛車牛
𤛖	⿱⿰赤殳牛
𤛗	⿱殸牛
𤛘	⿰牛莽
𤛙	⿰⿱⿰丨目干牟
𤛚	⿱牪豕
𤛛	⿰牛脩
𤛜	⿰𤚖刂
𤛝	⿱宿牛
𤛞	⿰牛閉
𤛟	⿰牛𤰈
𤛠	⿰牛婁
𤛡	⿰牛絫
𤛢	⿰牛曾
𤛣	⿰牛翕
𤛤	⿰牛叅
𤛥	⿰牛黃[T] ⿰牛黄[.]
𤛦	⿰牛厥
𤛧	⿰牛尋
𤛨	⿰牛爲
𤛩	⿰牛隋
𤛪	⿰牛⿱老老
𤛫	⿰牛⿳卝干𤘔
𤛬	⿰牛買
𤛭	⿰⿱牛牛𤘧
𤛮	⿰牛勞
𤛯	⿰牛蜀
𤛰	⿰牛羣
𤛱	⿱𦥯牛
𤛲	⿰牛嵬
𤛳	⿰牛解
𤛴	⿰牛𠷎
𤛵	⿰牛𡕰
𤛶	⿰牛萬
𤛷	⿰牛嗇
𤛸	⿰牛感
𤛹	⿰牛翟
𤛺	⿰牛⿳⿰禾刀人氺
𤛻	⿰牛蔵
𤛼	⿰牛黎
𤛽	⿰牛⿳丆⺜⿱冖歧[.] ⿰牛⿳𦣻冖歧[T]
𤛾	⿰牛憂
𤛿	⿰黍⿱⿹勹丿牛
𤜀	⿰牛𦎫
𤜁	⿰牟感
𤜂	⿱衛牛
𤜃	⿰牛𦎧
𤜄	⿰牛褱
𤜅	⿰牛霍
𤜆	⿰牛龍
𤜇	⿰牛毚
𤜈	⿰牛謈
𤜉	⿰牛嬰
𤜊	⿲牛哥言
𤜋	⿰牛𧫏
𤜌	⿰牛㬥
𤜍	⿰牛雚
𤜎	⿰牛龎
𤜏	⿸⿸⿸⿰牛厂臼丶⿳一凶禸
𤜐	⿰牛藏
𤜑	⿰牛羆
𤜒	⿰牛蠆
𤜓	⿰牛⿱巛⿻⿺乚丨⿱!黽0⿰⿱⿻コ一⿻コ一𬺹
𤜔	⿱⿰⿱日幸匊牛
𤜕	⿰⿳士冖牛⿱覀相
𤜖	⿰牛纍
𤜗	⿰牛蠢
𤜘	⿰⿸广𣝹牛[U] ⿰⿸麻鬼牛[.]
𤜙	⿰牛靈
𤜚	⿱犭一
𤜛	⿰犭𢎘
𤜜	⿰犭力
𤜝	⿰犭几
𤜞	⿰犭八
𤜟	⿰犭丩
𤜠	⿰犭乃
𤜡	⿰犭阝
𤜢	⿰犭卂
𤜣	⿰犭也
𤜤	⿰犭乇
𤜥	⿰犭义
𤜦	⿰犭凡
𤜧	⿰巾犬
𤜨	⿰犭⿻𠤎一
𤜩	⿰犭⿹勹丿
𤜪	⿰犭亡
𤜫	⿰犭叉
𤜬	⿰犭山
𤜭	⿰犭子
𤜮	⿰犭寸
𤜯	⿰犭及
𤜰	⿰犭今
𤜱	⿰犭巴
𤜲	⿰巿犬
𤜳	⿰犭帀
𤜴	⿰犭冘
𤜵	⿰犭开
𤜶	⿰犭爪
𤜷	⿰犭互
𤜸	⿰犭厄
𤜹	⿰犬欠
𤜺	⿰犭𠂛
𤜻	⿰犭比
𤜼	⿰犭勻[T] ⿰犭匀[.]
𤜽	⿰犭内
𤜾	⿰犭丮
𤜿	⿰犭⿹⺄屮
𤝀	⿰欠犬
𤝁	⿰犭太
𤝂	⿰犭𣎳
𤝃	⿰犭𢆰
𤝄	⿰犭毛
𤝅	⿰犭公
𤝆	⿰犭欠
𤝇	⿰犭⿸丿叉
𤝈	⿰犭殳
𤝉	⿰犭予
𤝊	⿰犭卆
𤝋	⿰犭文
𤝌	⿰犭元
𤝍	⿰犭日
𤝎	⿰犭水
𤝏	⿰犭弁
𤝐	⿰犭号
𤝑	⿰犭乏
𤝒	⿰犭出
𤝓	⿰犭占
𤝔	⿰犭付
𤝕	⿰犭母
𤝖	⿰犭只
𤝗	⿰犭田
𤝘	⿰犭乎
𤝙	⿰犭巨
𤝚	⿰犭申
𤝛	⿰犭它
𤝜	⿰犭犮
𤝝	⿰犭尒
𤝞	⿰犭朮[T,V] ⿰犭术[.]
𤝟	⿰弗犬
𤝠	⿰犭弔
𤝡	⿰白犬
𤝢	⿰犭𠬤
𤝣	⿰犭氷
𤝥	⿰犭⿺夊卜
𤝦	⿰犭𠆫
𤝧	⿰犭仢
𤝨	⿰犭宄
𤝩	⿰犭矛
𤝪	⿰犭𢆉
𤝫	⿰犭冉
𤝬	⿰犭氐
𤝭	⿰犭此
𤝮	⿰𠂔犬
𤝯	⿰犭伏
𤝰	⿰犭合
𤝱	⿰犭因
𤝲	⿰犭吳[T] ⿰犭吴[.]
𤝳	⿰犭伊
𤝴	⿰犭并
𤝵	⿰犭𡉚
𤝶	⿰⿱屮王犬[.] ⿰㞷犬[T]
𤝷	⿰犭夅
𤝸	⿰犭米
𤝹	⿰犭朱
𤝺	⿰犭𡰱
𤝻	⿰犭多
𤝼	⿰犭自
𤝽	⿰犭聿
𤝾	⿰犭𭗼
𤝿	⿰犭匡
𤞀	⿰犭充
𤞁	⿰犭𠃨
𤞂	⿰犭至
𤞃	⿰犭岁
𤞄	⿰犭⿱丷旡
𤞅	⿰犭𠂢
𤞆	⿰犭⿱𠂉斤
𤞇	⿰犭圭
𤞈	⿰犭⿱一丘
𤞉	⿰犭戍
𤞊	⿰犭列
𤞋	⿰犭早
𤞌	⿰犭宅
𤞍	⿰犭⿱肀凵
𤞎	⿰犭⿱又朩
𤞏	⿰犭西
𤞐	⿰犭存
𤞑	⿰犭回
𤞒	⿰犭共
𤞓	⿰犭先
𤞔	⿰犭式
𤞕	⿰犭再
𤞖	⿰犭耒
𤞗	⿰犭件
𤞘	⿰犭任
𤞙	⿰犭寽
𤞚	⿰犭肖
𤞛	⿱壯犬
𤞜	⿰犭否
𤞝	⿰犭豸
𤞞	⿰犭⿳儿人口[V] ⿰犭谷[.]
𤞟	⿰犭豆
𤞠	⿰犭⿱㐅朮[T] ⿰犭杀[.]
𤞡	⿰犭邪
𤞣	⿰䏍犬[T] ⿰肙犬[.]
𤞤	⿰犭严
𤞥	⿰犭呆
𤞦	⿰犭每
𤞧	⿰犭困
𤞨	⿰犭甫
𤞩	⿰犭助
𤞪	⿰犭呂
𤞫	⿰犭戒
𤞬	⿰犭弄
𤞭	⿰犭見
𤞮	⿰⿱穴㐅犬
𤞯	⿰犭𡉵
𤞰	⿰犭求
𤞱	⿰犭豕
𤞲	⿰犭孚
𤞳	⿰犭𠯑
𤞴	⿰犭角
𤞵	⿰犭完
𤞷	⿰⿱木土犬
𤞹	⿲犭丨⿰⿻〣二丨[U] ⿲犭丨⿰⿻〣二亅[T] ⿲犭丿⿰⿻〣二丨[.]
𤞺	⿰犭告
𤞻	⿰犭含
𤞼	⿰犭吝
𤞽	⿰犭芒
𤞿	⿰犴犬
𤟀	⿰⿱白⿻𠄌丿犬[U] ⿰⿱白七犬[.]
𤟁	⿰犭⿱刃𫩏
𤟂	⿰犭⿱亡月[U] ⿰犭育[V]
𤟃	⿰犭疌
𤟄	⿰犭空
𤟅	⿰犭臽
𤟆	⿰犭刹[.,U] ⿰𤞠刂[T]
𤟇	⿰犭炎
𤟈	⿰犭東
𤟉	⿰犭岸
𤟊	⿰犭宛
𤟌	⿰爿⿱⿴𠂊⺀犬[.] ⿰爿⿱⿴𠂊冫犬[T]
𤟍	⿰犭易
𤟎	⿰犭屈
𤟐	⿸厂⿱⿰丰刀犬[T] ⿸厂⿱㓞犬[.]
𤟑	⿰犭戾
𤟒	⿱⿰爿⿴𠂊冫犬
𤟓	⿰䒥犬
𤟔	⿰犭長
𤟕	⿰犭𦙃
𤟖	⿰犭采
𤟗	⿰犭受
𤟙	⿰⿱⿴𠂊⺀火犬[.] ⿰⿱⿴𠂊冫火犬[T]
𤟚	⿰犭⿱𦥑又
𤟛	⿰犭兔
𤟜	⿰⿸虍口犬[T] ⿰𫊝犬[.]
𤟝	⿰犭𧆞
𤟟	⿰犭音
𤟠	⿰犭胥
𤟡	⿰犭皇
𤟢	⿰盾犬
𤟣	⿰犭盈
𤟤	⿰犭軍
𤟥	⿰犭是
𤟦	⿰犭耎
𤟧	⿰犭思
𤟩	⿰虽犬
𤟪	⿰犭突
𤟫	⿰犭叜
𤟬	⿰犭⿱丗木
𤟭	⿱㲋犬
𤟮	⿰耑犬
𤟯	⿰犭面
𤟱	⿰犭复
𤟲	⿰犭姜
𤟳	⿱狗分
𤟴	⿰犬軍
𤟵	⿰⿸戶目犬[T] ⿰⿸户目犬[.]
𤟶	⿰⿱㠯冃犬[.] ⿰⿱㠯月犬[T]
𤟷	⿰犭歪
𤟸	⿰𤝚攵
𤟹	⿰犭禺
𤟺	⿰犭⿳由一夂
𤟻	⿰犭𢍆
𤟼	⿰犭訇
𤟽	⿰犭施
𤟾	⿰犭帝
𤟿	⿰犭宣
𤠀	⿰犭凾
𤠁	⿰犭首
𤠂	⿰犭苔
𤠃	⿲犭巠力
𤠅	⿰犭盃
𤠆	⿰犭哀
𤠇	⿰犭革
𤠈	⿰犭舁
𤠉	⿰犭英
𤠋	⿰犭娄
𤠌	⿰犭柴
𤠍	⿰犭般
𤠎	⿰犭畟
𤠏	⿰犭⿱⿰刃刃止
𤠐	⿰犭𦐇
𤠑	⿰犭留
𤠒	⿲犭𠂤犬
𤠓	⿰犭奚
𤠔	⿰犭員
𤠕	⿰犭畜
𤠖	⿰犭高
𤠗	⿰犭能
𤠘	⿰犭蚤
𤠙	⿰犭哥
𤠚	⿰犭素
𤠛	⿰犭⿱𦬆𫶧
𤠜	⿰犭庭
𤠝	⿰犭差
𤠞	⿰犭𣬉
𤠟	⿰犭荅
𤠠	⿰犭衰
𤠡	⿰犭盍
𤠢	⿰⿻虫口犬
𤠣	⿰犭候
𤠤	⿰犭荒
𤠥	⿰犭㪿
𤠦	⿰犭𣁋
𤠧	⿰犭𭃳
𤠩	⿰⿱自⿺方丶犬
𤠪	⿰⿱巛囯犬
𤠫	⿰犭栗
𤠬	⿰犭𠳮
𤠮	⿰犭芻
𤠯	⿰犭唐
𤠰	⿰犭冓
𤠱	⿰犭埃
𤠲	⿰犭豈
𤠳	⿰犭起
𤠴	⿰犭院
𤠵	⿰犭挈
𤠶	⿰犭真
𤠷	⿰蚩犬
𤠸	⿰犭郎
𤠹	⿰犭帶
𤠺	⿰犭畢
𤠻	⿰犭啇
𤠽	⿰犭戚
𤠾	⿰犭區
𤠿	⿰犭堅
𤡀	⿰犭羕
𤡁	⿰犭㒼
𤡂	⿰犭累
𤡄	⿰犭𨊴
𤡅	⿰犭㕘
𤡆	⿰犭從
𤡇	⿰犭毫
𤡈	⿰犭許
𤡉	⿰犭⿱廿⿻人𠮡
𤡊	⿰犭鹿
𤡋	⿰犭軟
𤡌	⿰犭⿵門万
𤡍	⿰犭庶
𤡎	⿰⿱丶鬲犬[.] ⿰⿳丶𠮛⿵冂⿱儿丅犬[T]
𤡏	⿰犭𨱝
𤡐	⿰犭曹
𤡑	⿰犭票
𤡒	⿰犭野
𤡓	⿰犭國
𤡔	⿰犭梟
𤡕	⿰犭鳥
𤡖	⿰犭這
𤡗	⿰犭𡨼
𤡘	⿲犭⿱彐冃⿱コ又[.] ⿲犭⿱彐月⿱コ又[U]
𤡙	⿰犭叄
𤡚	⿰犭既
𤡛	⿰犭⿳㝉皿丁
𤡜	⿰⿱甘肉犬
𤡝	⿰犭𡌦
𤡞	⿰犭⿱艹⿺人⿸肀一
𤡟	⿰犭患
𤡠	⿰犭晨
𤡡	⿰犭⿱臼匃
𤡢	⿰犭离
𤡣	⿰犭虛
𤡤	⿰犭𦓔
𤡥	⿰犭閒
𤡦	⿰犭閑
𤡧	⿰犭惢
𤡨	⿰犭絲[.] ⿲犭糸糸[T]
𤡩	⿰粦犬
𤡪	⿰犭隋
𤡫	⿰犭厤
𤡬	⿰犭壹
𤡭	⿰犭彭
𤡮	⿰犭然
𤡯	⿰犭舃
𤡰	⿰犭斑
𤡱	⿰犭貴
𤡲	⿰犭開
𤡴	⿰⿱吅虫犬
𤡵	⿰雇犬
𤡶	⿰犭⿳𠦄人⿱人十[.] ⿰犭⿳𠦄八仐[T]
𤡷	⿰犭渠
𤡸	⿰犭象
𤡹	⿰犭䭴
𤡺	⿰犭𡩋
𤡼	⿰犭⿳一⿰!亞0!亞1田
𤡽	⿰奠犬
𤡾	⿰惡犬
𤢀	⿰犭喜
𤢁	⿰犭⿱艹丳
𤢂	⿰犭粟
𤢃	⿰犭⿱右⿵冂⿱儿山[T] ⿰犭⿱右⿵冂⿱八山[.]
𤢄	⿰犭敞
𤢅	⿰犭⿱⿰⿴𠂊冫犬火[T] ⿰犭𤉷[.]
𤢆	⿰犭甯
𤢇	⿰犭筆
𤢈	⿰犭登
𤢉	⿲犭育攵
𤢊	⿰犭路
𤢋	⿰犭⿱⿰歹夂丗
𤢌	⿰犭禽
𤢍	⿰犭遀
𤢎	⿰犭當
𤢏	⿰犭亶
𤢐	⿰犭雍
𤢑	⿰犭葵
𤢒	⿰犭廌
𤢓	⿰犭豦
𤢔	⿰犭歇
𤢕	⿰睪犬
𤢖	⿰犭喿
𤢗	⿰犭雷
𤢘	⿰犭⿱夂素
𤢙	⿰犭𤊽
𤢚	⿰⿱厸禺犬
𤢛	⿰犭意
𤢜	⿰蜀犬
𤢝	⿱⿰⿱出方攵犬[.] ⿱𢾕犬[T]
𤢞	⿰犭⿱⺜𬙙[T] ⿰犭㬅[.]
𤢟	⿰犭睪
𤢠	⿰犭⿱㞱𠣏[.] ⿰犭⿱山𭥭[T]
𤢡	⿰犭鼠
𤢢	⿰犭⿱亩衣
𤢣	⿰犭辟
𤢤	⿰犭稟
𤢥	⿰犭萬
𤢦	⿰犭㥯
𤢧	⿰犭冩
𤢨	⿰犭蒿
𤢩	⿰犭隨
𤢪	⿰犭⿳巛罓⿲𠄌⺀⿲𠄌⺀㇂[T] ⿰犭⿳巛𠔿⿲𠄌⺀⿲𠄌⺀㇂[.]
𤢫	⿰犭⿱百奔
𤢬	⿰犭臺
𤢭	⿰犭豪
𤢮	⿰犭⿱羊㹜
𤢯	⿰⿹⿻㇁丿丿⿳⿻人⿰丶丿⿻人⿰丶丿⿰⿴⿰丿㇇丶⿻丨⿱一𠃊
𤢰	⿰狺男
𤢱	⿰犭⿱㝐⿲𠄌二⿲𠄌二㇂
𤢲	⿰犭銀
𤢳	⿰犭鼻
𤢴	⿰犭樂
𤢵	⿰犭厲
𤢶	⿰犭窮
𤢷	⿰犭韯
𤢸	⿰犭寮
𤢹	⿰犭畾
𤢺	⿰犭頡
𤢻	⿰犭慸
𤢼	⿰犭適
𤢽	⿰犭質
𤢿	⿰犭磊
𤣀	⿰犭鄭
𤣁	⿰犭⿳曲冖豆
𤣂	⿱畾犬
𤣃	⿰犭魯
𤣄	⿰犭麃
𤣅	⿰霍犬
𤣆	⿰犭聮
𤣇	⿰犭⿱𭘧心
𤣈	⿲犭耳⿱𢆶从
𤣉	⿰⿳⿻丅⿱冖一𠮛⿵冂𢆉犬
𤣊	⿰獚犬
𤣋	⿰犭⿱雨並
𤣌	⿰犭學
𤣍	⿰犭霝
𤣎	⿰犭嬰
𤣏	⿰𫊣犬
𤣐	⿰犭壐
𤣑	⿰犭巂
𤣒	⿰犭聶
𤣓	⿰犭瞿
𤣔	⿰犭⿱爾王
𤣕	⿰犭雞
𤣖	⿰犭豐
𤣗	⿰犭璽
𤣘	⿰冥猪
𤣙	⿰犭⿳丷丆⿳⺜冖政
𤣜	⿰犭䢉
𤣝	⿰犭蠒
𤣞	⿰犭黨
𤣟	⿰犭覽
𤣠	⿰犭嚻
𤣡	⿰獨直
𤣣	⿰犭⿳吅貢吅
𤣤	⿰犭靈
𤣥	⿱亠{⿸}⿱𠃋𠃋
𤣦	⿰𤣥厷
𤣧	⿰玄⿳山𠂉⺊
𤣨	⿰玄曷
𤣩	{𤣩}⿱一土
𤣪	⿻王儿
𤣫	⿱干丂
𤣬	⿱九玉
𤣭	⿰王⿱⺄十
𤣮	⿰王乞
𤣯	⿰王乇
𤣰	⿰王土
𤣱	⿰王已
𤣲	⿰王卂
𤣳	⿰王千
𤣴	⿱亡王
𤣵	⿰王么
𤣶	⿱玉山
𤣷	⿰王女
𤣸	⿰王丈
𤣹	⿰王尹
𤣺	⿰王爪
𤣻	⿰王𠬛
𤣼	⿱内玉
𤣽	⿰王冃
𤣾	⿰王厷
𤣿	⿰王开
𤤀	⿰王屯
𤤁	⿰王方
𤤂	⿰王予
𤤃	⿲王丨三
𤤄	⿰王殳
𤤅	⿰王勿
𤤆	⿰王斤
𤤇	⿰王天
𤤈	⿰王𢆰
𤤉	⿰王少
𤤊	⿰王⿱刀刀
𤤋	⿱丿𡘇
𤤌	⿰王冗
𤤍	⿰王旡
𤤎	⿱父玉
𤤏	⿰王叏
𤤐	⿰王斥
𤤑	⿰王卭
𤤒	⿰王犮
𤤓	⿰王𡴀
𤤔	⿰王立
𤤕	⿰王付
𤤖	⿰王弗
𤤗	⿰王尼
𤤘	⿱北王
𤤚	⿰王⿱冖巾
𤤛	⿰王主
𤤜	⿰王⿱耂乙
𤤝	⿰王丙
𤤞	⿰王𡯊
𤤟	⿰王石
𤤢	⿰王⿵冂女
𤤣	⿰王叐
𤤤	⿰王禾
𤤥	⿰王失
𤤦	⿰王田
𤤧	⿰王由
𤤨	⿰王囙
𤤩	⿰王㐌
𤤪	⿰王用
𤤫	⿰王外
𤤬	⿰王幼
𤤭	⿰王史
𤤮	⿰王冬
𤤯	⿰王永
𤤰	⿱王布
𤤱	⿰王𠬦
𤤲	⿲王工几
𤤳	⿰王以
𤤵	⿰王⿸𠂆丰
𤤶	⿱巩玉
𤤷	⿰王𠂤
𤤸	⿰王朵
𤤹	⿰王朿
𤤺	⿰王曳
𤤻	⿰𭸵王
𤤼	⿰王𭗼
𤤾	⿰王𣲇
𤤿	⿰王百
𤥀	⿰王多
𤥁	⿰王名
𤥂	⿰王亦
𤥃	⿰王安
𤥄	⿰王米
𤥅	⿲王一⿰𠂉𫡃
𤥆	⿰王再
𤥇	⿰王至
𤥈	⿰王𡰯
𤥉	⿰王艻
𤥊	⿰王㣼
𤥋	⿰王印
𤥌	⿰王邜
𤥍	⿺玖彡
𤥎	⿰王𤆌
𤥏	⿱如玉
𤥐	⿰王吉
𤥑	⿰王妄
𤥒	⿰王西
𤥓	⿱合玉
𤥔	⿱夙玉
𤥕	⿰王危
𤥖	⿰王𦈢
𤥗	⿰王丣
𤥘	⿰王⿱⿹勹⿺㇄㐅又[T] ⿰王⿱⿹勹⿺𠃊㐅又[.]
𤥚	⿰王旱
𤥛	⿰王𥃩
𤥝	⿰王孝
𤥞	⿰王役
𤥟	⿰王曵
𤥠	⿰王宏
𤥡	⿰王弃
𤥢	⿰王吿
𤥣	⿰王克
𤥤	⿰王宋
𤥥	⿰王⿳亠小又
𤥦	⿰王庒
𤥧	⿰王𦒳
𤥨	⿰王豕
𤥩	⿰王⿱⺊疋
𤥪	⿰王囲
𤥫	⿰王⿳儿人口[V] ⿰王谷[.]
𤥬	⿰王㣊
𤥭	⿰王車
𤥮	⿰王⿱少口
𤥯	⿰王呆
𤥰	⿰王皃
𤥱	⿰王⿳丿冈又[T] ⿰王⿳丿罓又[.]
𤥲	⿱求玉
𤥳	⿰王困
𤥴	⿰王志
𤥶	⿰王那
𤥷	⿱㺳土
𤥸	⿰㺳阝
𤥺	⿰王奂
𤥻	⿰王延
𤥼	⿰王忩
𤥽	⿰王於
𤥾	⿰王㦿[.,U] ⿸⿰王𠂆⿸コ木[T]
𤥿	⿰王夜
