!专	∎
!丘	∎
!之	∎
!乌0	∎
!乐.	∎
!乐w	∎
!亞0	∎
!亞1	∎
!北.	⿰⿱一㇀丨
!北H	⿱┤㇀
!卍	∎
!卐	∎
!卬	∎
!叚	∎
!戉	∎
!斲2	∎
!斲3	∎
!毌	∎
!母	∎
!烏0	∎
!皮	∎
!睂	∎
!臼	∎
!辶.	∎
!辶H	∎
!雋	∎
!馬	∎
!黽	{1:}⿻⿺乚丨!黽0
!黽0	∎
!黽1	∎
!龍	∎
!龜0	∎
!𠀀.	∎
!𠀀T	∎
!𠀟	∎
!𠁁0	∎
!𠁁1	∎
!𠁾	∎
!𠂂	∎
!𠂔.	∎
!𠂔h	∎
!𠃛	∎
!𠌆	∎
!𠥓	∎
!𠦁	∎
!𠬝	∎
!𢩺	∎
!𪛗	∎
㔀	⿰景刂
㔂	⿰粦刂
㔃	⿱絕刀[T] ⿱絶刀[.]
㔄	⿰粟刂
㔆	⿰朁刂
㔈	⿰菲刂
㔉	⿰属刂
㔍	⿰算刂
㔎	⿱辥刀
㔏	⿰磊刂
㔐	⿰⿳𥫗一韭刂
㔑	⿱薛刀
㔒	⿰巂刂[.,T] ⿰⿱崔冏刂[K]
㔓	⿰千力
㔔	⿱加〇
㔕	⿰气力
㔖	⿱加𠃍
㔗	⿰弗力
㔘	⿰出力
㔙	⿰并力
㔚	⿰舌力
㔛	⿱士另
㔝	⿰兩力
㔞	⿰乖力
㔟	⿱𭺳力
㔠	⿰曷力
㔢	⿱絕力[T] ⿱絶力[.]
㔣	⿰畾力
㔤	⿰審力
㔥	⿰罷力
㔦	⿰⿱𦍌飠力
㔨	⿹勹背
㔩	⿹勹盍
㔪	⿹勹鹵
㔫	⿸𠂇匕
㔬	⿱匕早
㔭	⿰匕是
㔮	⿰⿱廿⿻人𠮡能
㔯	⿷匚⿱𠘧口[.] ⿷匚㕣[T]
㔰	⿷匚外
㔱	⿷匚臾
㔲	⿷匚⿰飠九
㔳	⿷匚飢
㔴	⿷匚異
㔵	⿷匚巽
㔶	⿷匚贛[.] ⿷匚𥫔[T]
㔷	⿷匚丙[.] ⿷匸丙[T]
㔸	⿷匚⿸厂虎[U] ⿷匚虒[.] ⿷匸虒[T]
㔹	⿰十力
㔺	⿱十⿺七十[T] ⿱十⿻⿺乚丨一[.] ⿱十𠃒[J]
㔻	⿱不十
㔼	⿱推十
㔽	⿱⺊回
㔾	∎
㔿	⿱一丩[.] ⿸!戉丨[K]
㕀	⿱由㔾[K] ⿳由𠃌乚[T]
㕁	⿰𠫤卩
㕂	⿸厂今
㕃	⿸厂开
㕄	⿸厂𢆰
㕅	⿸厂甲
㕆	⿸厂古
㕇	⿸厂立
㕈	⿸厂衣
㕉	⿸厂合
㕊	⿸厂甫
㕋	⿸厂金
㕌	⿸厂㝵
㕍	⿸厂隹
㕎	⿸厂盍
㕐	⿸厂舄
㕑	⿸厂尌
㕒	⿸厂義
㕓	⿸厂墨
㕕	⿱厶厶
㕖	⿱厽木
㕗	⿺羑厶
㕘	⿱厽尒
㕚	⿰丶叉
㕛	⿱又又
㕜	⿱中又
㕝	⿱十𪠲
㕞	⿰𡰯又
㕟	⿰⿱⺊𠕁又
㕠	⿱准又
㕢	⿰⿳⺊冖⿱一貝又
㕣	⿱八口
㕤	⿰口九
㕥	⿰口人
㕦	⿱口大
㕧	⿰口尸
㕨	⿰口凡
㕩	⿰口丰
㕪	⿰口冘
㕫	⿰口方
㕬	⿰口公
㕭	⿰口夭
㕮	⿰口父
㕯	⿵内口
㕰	⿰口毛
㕱	⿰口尤
㕲	⿰口木
㕳	⿰口凶
㕴	⿰口冗
㕵	⿰口王
㕶	⿰口五
㕷	⿰口白
㕸	⿰口立
㕹	⿰口犮
㕺	⿱吅丂
㕻	⿱丨否[K] ⿱丶否[.]
㕼	⿰口⿹勹⿺𠃊㐅
㕽	⿰口以
㕾	⿱小⿰口匕
㕿	⿱丿杏
㖀	⿰口聿
㖁	⿰口𠫤
㖂	⿰口曳
㖃	⿰口后
㖄	⿰口州
㖅	⿰口戌
㖆	⿰口曲
㖇	⿰口而
㖈	⿱老口
㖉	⿰口企
㖊	⿰口寻
㖋	⿱介⿰口匕
㖌	⿱仇⿰口匕
㖍	⿱斗⿰口匕
㖎	⿱⿰口匕介
㖏	⿰口圼
㖐	⿱吅尹
㖑	⿰口戒
㖒	⿰口弟
㖓	⿰口夆
㖔	⿰口吞[T] ⿰口呑[.]
㖕	⿰口辛
㖖	⿱立古
㖗	⿰口岑
㖘	⿰口辰
㖙	⿱加⿰口匕
㖚	⿱付⿰口匕
㖛	⿱古⿰口匕
㖜	⿳亠口⿰口匕
㖝	⿱未⿰口匕
㖞	⿰口呙
㖟	⿰口受
㖠	⿰口奈
㖡	⿰口夜
㖢	⿰口庛
㖣	⿰口咅
㖤	⿰口函
㖥	⿰口囷
㖦	⿰口東
㖧	⿰口昏
㖨	⿰口彔
㖩	⿰口取
㖪	⿰口或
㖫	⿰口夌
㖬	⿰口𪠨
㖭	⿰口忝
㖮	⿰口侖
㖯	⿱同⿰口匕
㖰	⿱⿰口匕同
㖱	⿱夜口
㖲	⿱如⿰口匕
㖳	⿱汝⿰口匕
㖴	⿰口芴
㖵	⿰口具
㖶	⿰口垔
㖷	⿰口是
㖸	⿰口虐
㖹	⿰口盆
㖺	⿰口春
㖻	⿰口柔
㖼	⿰口某
㖽	⿰口頁
㖾	⿱吅屰
㖿	⿰口耶
㗀	⿰口幽
㗁	⿰口咢
㗂	⿰口省
㗃	⿰口昬
㗄	⿰口𬙙
㗅	⿰口胡
㗆	⿰口革
㗇	⿰口叚
㗈	⿰口勇
㗉	⿱⿰丰刀各[T] ⿱㓞各[.]
㗊	⿰吕吕
㗋	⿰口矦
㗌	⿰口室
㗍	⿰口香
㗎	⿰口架
㗏	⿰口歪
㗐	⿰口盇
㗑	⿰口拜
㗒	⿰口哀
㗓	⿰口追
㗔	⿰口虔
㗕	⿰口冓
㗖	⿰口舀
㗗	⿰另卑[.] ⿰𠮠卑[T]
㗘	⿰口尃
㗙	⿰口芻
㗚	⿰口栗
㗛	⿰口笑
㗜	⿰口畜
㗝	⿰口羔
㗞	⿰口破
㗟	⿱⿰氵⿱亠土⿰口匕
㗠	⿱始⿰口匕
㗡	⿱艹𪝁
㗢	⿰口動
㗣	⿰口帶
㗤	⿱戚口
㗦	⿰口聊
㗧	⿰口窒
㗨	⿱殹口
㗩	⿰口習
㗪	⿰口紫
㗫	⿰口祭
㗬	⿱𫩠多
㗭	⿰口悉
㗯	⿲者口匕
㗰	⿰口從
㗱	⿰口集
㗲	⿰口畫
㗳	⿰口答
㗴	⿰口閒[.] ⿰口間[J]
㗵	⿰口欻
㗷	⿰口⿳宀𠀎贝
㗸	⿰口䘖
㗹	⿰口⿱隹心
㗺	⿰口䨿
㗻	⿰口過
㗼	⿰口業
㗽	⿱鄉口
㗾	⿰口靴
㗿	⿰口閜
㘀	⿰口䊆
㘁	⿰口睪
㘃	⿰口惹
㘄	⿰口楞
㘅	⿰口銜
㘆	⿰口臺
㘇	⿰口榮
㘈	⿰口疑
㘉	⿰口節
㘊	⿰口霅
㘋	⿰口賢
㘌	⿰口劇
㘍	⿰口𢧵
㘏	⿱道⿰口匕
㘐	⿰口駮
㘑	⿰口隷
㘒	⿱種⿰口匕
㘔	⿰口賽
㘕	⿰口藍
㘖	⿰喭頁
㘗	⿰口瞿
㘘	⿱䜌口
㘙	⿰口嚴
㘛	⿰口龕
㘜	⿱讎口
㘝	⿴囗又
㘞	⿴囗力
㘟	⿴囗廾
㘠	⿴囗必
㘡	⿴囗甲
㘢	⿴囗光
㘣	⿴囗肙
㘤	⿴囗淵
㘥	⿴囗繇
㘦	⿰土力
㘧	⿰土予
㘨	⿰土内
㘩	⿰土比
㘪	⿰土毛
㘫	⿰土井
㘬	⿰土勾
㘭	⿰土幻
㘮	⿰土尺
㘯	⿰土⿱𠂉力
㘰	⿰土斗
㘱	⿰土冉
㘲	⿰土尻
㘳	⿱北土
㘴	⿻丄⿱⿰口人一
㘵	⿰土布
㘶	⿱舛土
㘷	⿰土艾
㘸	⿱死土
㘹	⿱此土
㘺	⿰土伐
㘻	⿰土因
㘼	⿰土考
㘽	⿹𢦏土
㘾	⿰土宇
㘿	⿰土圼
㙀	⿰土究
㙁	⿰土每
㙂	⿰土兌[J] ⿰土兑[.]
㙃	⿰土兵
㙄	⿰土坒
㙅	⿰土呆
㙆	⿰土宏
㙇	⿰土豖
㙈	⿰土虎
㙉	⿰土典
㙊	⿰土長
㙋	⿰土其
㙌	⿰土肃
㙍	⿰土叕
㙎	⿰土威
㙏	⿰土复
㙐	⿰土耑
㙑	⿱禹土
㙒	⿱𤰩土
㙓	⿱垚土
㙔	⿰土韋
㙕	⿰土胃
㙖	⿰土禹
㙗	⿰土畏
㙘	⿰土要
㙙	⿱浝土
㙚	⿰土⿱𢆉𤘔
㙛	⿰土尃
㙜	⿱高土
㙝	⿰土脅
㙞	⿰土臬
㙟	⿰土朗
㙠	⿱殹土[.,T] ⿱⿰医殳土[J]
㙡	⿰土從
㙢	⿰土㒼
㙣	⿰土張
㙤	⿰土虖
㙥	⿰土⿳亠公𧘇[.] ⿰土袞[T]
㙦	⿱斜土
㙨	⿰土幾
㙩	⿰土尞
㙪	⿰土壹
㙫	⿰土集
㙬	⿱猌土
㙭	⿰土厥
㙮	⿰土答
㙰	⿱解土
㙱	⿱號土
㙲	⿰土雍
㙳	⿰土感
㙴	⿰土詹
㙵	⿰土㙜
㙶	⿳丶𠮛堂
㙷	⿰土㬎
㙸	⿰土僕
㙹	⿰土夢
㙺	⿰土匱
㙻	⿰土廛
㙼	⿰土畾
㙽	⿰土奭
㙾	⿰土學
㙿	⿰土𦏁
㚁	⿰堯堯
㚂	⿰土囊
㚃	⿳士冖⿱凶䒑
㚄	⿳士冖⿱田疋
